,acc_num,eppi_id,short_title,title,journal,year,date_assessed,include,reason,country,geographic_region,site_details,comparator,wetland_class,saline_or_freshwater,disturbance_category,disturbance_type,restoration_time_period,restoration_activity,time_since_restoration
82,A140,307,"David et al., 2014",Foraging and Growth Potential of Juvenile Chinook Salmon after Tidal Restoration of a Large River Delta,Transactions of the American Fisheries Society,2014,02-Feb-24,Y,,USA,Washington,Nisqually River Delta,"Reference, Restored",marsh,saline,Agriculture and aquaculture,diked and converted to pastureland,"2006, 2009",dike removal ,"1-3 years, 4-6 years"
83,A142,309,"David et al., 2016",Influences of Natural and Anthropogenic Factors and Tidal Restoration on Terrestrial Arthropod Assemblages in West Coast North American Estuarine Wetlands,Estuaries and Coasts,2016,02-Feb-24,Y,,USA,"California, Oregon, Washington, Alaska","West coast of US estuaries, various sites: Sacramento-San Joaquin and Russian river estuaries in California; the Alsea, Coquille, Nestucca, Salmon, Siuslaw, and Yaquina river estuaries in Oregon; the Columbia River estuary; the Duwamish, Nisqually, and Snohomish river estuaries in Washington; and the Fox River estuary in Alaska","Reference, Restored",wetland,saline,Multiple,agriculture and urban development ,unclear,levee removal or breaching,unclear
84,A144,312,"Davis et al., 2017",Gauging resource exploitation by juvenile Chinook salmon (Oncorhynchus tshawytscha) in restoring estuarine habitat,Restoration Ecology ,,02-Feb-24,Y,,USA,Washington,South Puget Sound,"Reference, Restored",marsh,saline,Agriculture and aquaculture,agricultural use,"1996, 2002, 2006",dike removal ,4-6 years
85,A144,312,"Davis et al., 2017",Gauging resource exploitation by juvenile Chinook salmon (Oncorhynchus tshawytscha) in restoring estuarine habitat,Restoration Ecology ,,02-Feb-24,Y,,USA,Washington,South Puget Sound,"Reference, Restored",marsh,saline,Agriculture and aquaculture,agricultural use,"1996, 2002, 2007",dike removal ,4-6 years
86,A152,331,"Delphey et al., 1993",BREEDING BIRD COMMUNITIES OF RECENTLY RESTORED AND NATURAL PRAIRIE POTHOLES,Wetlands,1993,02-Feb-24,Y,,USA,Iowa,Prairie Pothole,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,"drained, cultivated, grazed",1997-1998,unclear,0-3 years
87,A152,331,"Delphey et al., 1993",BREEDING BIRD COMMUNITIES OF RECENTLY RESTORED AND NATURAL PRAIRIE POTHOLES,Wetlands,1993,02-Feb-24,Y,,USA,Iowa,Prairie Pothole,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,"drained, cultivated, grazed",1997-1999,unclear,0-3 years
88,A155,339,Dibble and Meyerson 2012 ,Tidal Flushing Restores the Physiological Condition of Fish Residing in Degraded Salt Marshes,PLOS One,2012,04-Feb-24,Y,,USA,New England,Connecticuit to Maine,"Disturbed, Restored, Reference",marsh,saline,Multiple,"agriculture, salt works, flood, to facilitate commerce/travel, waterfowl hunting","1988, 1991, 1997, 1999, 2005",tidal flushing?,"5 years, 11 years, 13 years, 19 years, 22 years "
89,A155,339,Dibble and Meyerson 2012,Tidal Flushing Restores the Physiological Condition of Fish Residing in Degraded Salt Marshes,PLOS One,2012,04-Feb-24,Y,,USA,New England,Connecticuit to Maine,"Disturbed, Restored, Reference",marsh,saline,Multiple,"agriculture, salt works, flood, to facilitate commerce/travel, waterfowl hunting","1988, 1991, 1997, 1999, 2005",tidal flushing?,"5 years, 11 years, 13 years, 19 years, 22 years "
90,A157,341,Dibble and Meyerson 2016,Detection of decreased quantities of actively spawning female Fundulus heteroclitus in tidally restricted marshes relative to restored and reference sites,Biological Invasions,2016,04-Feb-24,Y,,USA,New England,Connecticuit to Maine,"Disturbed, Restored, Reference",marsh,saline,Multiple,"agriculture, salt works, flood, to facilitate commerce/travel, waterfowl hunting, invasive species","1988, 1991, 1997, 1999, 2005",tidal flushing?,"5 years, 11 years, 13 years, 19 years, 22 years "
91,A158,344,Diefenderfer and Montgomery 2009,"Pool Spacing, Channel Morphology, and the Restoration of Tidal Forested Wetlands of the
Columbia River, U.S.A.",Restoration Ecology,2009,04-Feb-24,Y,,USA,Washington,Columbia River,"Reference, Restored",wetland,saline,Agriculture and aquaculture,dyking for agriculture,2006,"installation of twin culverts, 3 dike breaches along the river",0-1 years 
92,A158,344,Diefenderfer and Montgomery 2009,"Pool Spacing, Channel Morphology, and the Restoration of Tidal Forested Wetlands of the Columbia River, U.S.A.",Restoration Ecology,2009,04-Feb-24,Y,,USA,Washington,Columbia River,"Reference, Restored",wetland,saline,Agriculture and aquaculture,dyking for agriculture,2006,"installation of twin culverts, 3 dike breaches along the river",0-1 years 
93,A159,347,"Diggory et al., 2011","Seed Supply and Revegetation Dynamics at Restored Tidal Marshes, Napa River, California",Restoration Ecology ,2011,04-Feb-24,Y,,USA,California,Nappa Bay,"Reference, Restored",marsh,saline,Multiple,agriculture and salt ponds,"1995, 2002",levee breaking ,"3-4 years, 10-11 years"
94,A160,350,Dionne 1999,"Fish utilization of restored, created, and reference salt-marsh habitat in the Gulf of Maine",American Fisheries Society Symposium ,1999,04-Feb-24,Y,,USA,Gulf of Maine,"New Hampshire, Southern Maine Coast","Reference, Restored",marsh,saline,Transportation and service corridors,"tidal restrictions created by dikes, roads and railroads",1992-1994,"dug channels to restore tidal flow, replacement of flap gate with large culvert",
95,A165,355,"Dodson and Lillie, 2001","Zooplankton communities of restored depressional wetlands in Wisconsin, USA",Wetlands,2001,05-Feb-24,Y,,USA,Wisconsin,"5 wetlands were located in the Southeast Wisconsin Till Plains, 7 wetlands were in the Northern Lakes & Forests, 12 wetlands were in the North Central Hardwood Forests, and two wetlands were in the Western Corn Belt Plains.","Disturbed, Restored, Reference",wetland,freshwater,Multiple,"agriculture, development ",unclear?,"removing or breaking drainage tiles, removing recent sediments (e.g., scrapes), or installing a water-level-control structure",0-22 years
96,A166,359,"Doroski et al., 2019",Denitrification Potential and Carbon Mineralization in Restored and Unrestored Coastal Wetland Soils Across an Urban Landscape,Wetlands,2019,05-Feb-24,Y,,USA,Connecticut,Long Island Sound,"Disturbed, Restored",wetland,saline,Natural system modification,ditching for mosquito control practice,1992-2014,"culvert replacement, tidal gate removal, installation of self-regulating tidal gates ",1-23 years
97,A166,359,"Doroski et al., 2019",Denitrification Potential and Carbon Mineralization in Restored and Unrestored Coastal Wetland Soils Across an Urban Landscape,Wetlands,2019,05-Feb-24,Y,,USA,Connecticut,Long Island Sound,"Disturbed, Restored",wetland,freshwater,Natural system modification,ditching for mosquito control practice,1992-2014,"culvert replacement, tidal gate removal, installation of self-regulating tidal gates ",1-23 years
98,A169,364,"Drexler et al., 2019","Carbon accumulation and vertical accretion in a restored versus historic salt marsh in southern Puget Sound, Washington, United States",Restoration Ecology ,2019,05-Feb-24,Y,,USA,Washington,"Puget Sound, Nisqually River","Reference, Restored",marsh,saline,Agriculture and aquaculture,drained and diked for agriculture ,"1996, 2002, 2006, 2009",removal of dike system,"6-8 years, 9-11 years, 13-15years, 19-21years"
99,A170,365,"Drexler et al., 2020",Carbon Sources in the Sediments of a Restoring vs. Historically Unaltered Salt Marsh,Estuaries and Coasts,2020,05-Feb-24,Y,,USA,Washington,"Puget Sound, Nisqually River Delta","Reference, Restored",marsh,saline,Agriculture and aquaculture,drained and diked for agriculture ,"1996, 2002, 2006, 2009 ",removal of dike system,"6-8 years, 9-11 years, 13-15years, 19-21years"
100,A173,375,Duman and Schafer 2018,Partitioning net ecosystem carbon exchange of native and invasive plant communities by vegetation cover in an urban tidal wetland in the New Jersey Meadowlands (USA),Ecological Engineering,2018,05-Feb-24,Y,,USA,New Jersey,Hackensack River (Secaucus)/Marsh Resouce Meadowlands Mitigation Bank (Carlstadt) ,"Reference, Restored",marsh,freshwater,Multiple,"development, construction of dams, tide gates and the New Jersey Turnpike, invasive P. australis ","1991, 2001","flooding previously drained areas, removal of standing Phragmites australis (invasive) and the introduction of Spartina alterniflora (native)",13-17 years
101,A177,381,"Echiverri et al., 2020",Disturbing to restore? Effects of mounding on understory communities on seismic lines in treed peatlands,Canadian Journal of Forest Research ,2020,05-Feb-24,Y,,Canada,Alberta,Kirby Lake,"Disturbed, Restored, Reference",fen,freshwater,Energy production and mining,oil and gas exploration (seismic lines)  ,2015,"mounding: involves the excavation and inversion of organic and mineral soil, resulting in a raised mound of material and an adjacent depression, essentially creating an artificial hummock and hollow. These mounds create an elevated growing site (hummock) for potential seedlings with favourable conditions. ",3 years
102,A182,388,"Ellings et al., 2016",Changes in habitat availability for outmigrating juvenile salmon (Oncorhynchus spp.) following estuary restoration,Restoration Ecology,2016,06-Feb-24,Y,,USA,Washington,Nisqually River Delta,"Reference, Restored",marsh,saline,Agriculture and aquaculture,diked for pastureland,"2006, 2009",dike removal ,"pre, 1-3 years, 4-7 years"
103,A184,391,"Elphick et al., 2015",Tidal-flow restoration provides little nesting habitat for a globally vulnerable saltmarsh bird,Restoration Ecology ,2015,06-Feb-24,Y,,USA,New England ,Connecticuit,"Reference, Restored",marsh,saline,Not specified,doesn't specify regarding the study sites ,unclear,"restoring tidal flow, invasive species control ",unclear - possibly 6-22 years?
104,A185,393,Emery and Fulweiler 2017,Incomplete tidal restoration may lead to persistent high CH4 emission,Ecosphere,2017,06-Feb-24,Y,,USA,Massachusetts,Rowley and Ipswich,"Reference, Restored",marsh,saline,Transportation and service corridors,roadway constructed,"1998, 2000, 2005","culvert installation, installation of a pipe high in the roadbed","6-9 years, 11-14 years, 13-16 years"
105,A185,393,Emery and Fulweiler 2017,Incomplete tidal restoration may lead to persistent high CH4 emission,Ecosphere,2017,06-Feb-24,Y,,USA,Massachusetts,Rowley and Ipswich,"Reference, Restored",marsh,saline,Transportation and service corridors,roadway constructed,"1998, 2000, 2006","culvert installation, installation of a pipe high in the roadbed","6-9 years, 11-14 years, 13-16 years"
106,A187,396,"Erdman et al., 2011","LARVAL SUCKER DISTRIBUTION AND CONDITION BEFORE AND AFTER LARGE-SCALE RESTORATION AT THE WILLIAMSON RIVER DELTA, UPPER KLAMATH LAKE, OREGON",Western North American Naturalist,2011,06-Feb-24,Y,,USA,Oregon,Williamson River Delta,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,dredging and draining for agricultural land use,"2000, 2003, 2007, 2008 ",levee breaching and flooding of old agricultural fields,"0-3 years, 6-7 years, 9-10 years"
107,A191,401,"Evans and Short, 2005","Functional trajectory models for assessment of transplanted eelgrass, Zostera marina L., in the Great Bay Estuary, New Hampshire",Estuaries ,2005,06-Feb-24,Y,,USA,New Hampshire,Great Bay Estuary,"Reference, Restored",marsh,saline,Pollution,natural eelgrass devestated by a wasting disease event in the early 1980s,1993-1994,eelgrass transplanting,9 years
108,A192,402,"Evans-Peters et al., 2012",Plant Community Composition and Waterfowl Food Production on Wetland Reserve Program Easements Compared to Those on Managed Public Lands in Western Oregon and Washington,Wetlands,2012,06-Feb-24,Y,,USA,Washington/Oregon,Willamette Valley,"Reference, Restored",wetland,freshwater,Multiple,land conversion for agriculture and development ,,"enrollment in the Wetland Reserve Program - technical and financial support to protect, restore, and enhance wetlands via easements on lands retired from agricultural production",>3 years
109,A198,417,"Fell et al., 1991",REESTABLISHMENT OF MELAMPUS-BIDENTATUS (SAY) AND OTHER MACROINVERTEBRATES ON A RESTORED IMPOUNDED TIDAL MARSH - COMPARISON OF POPULATIONS ABOVE AND BELOW THE IMPOUNDMENT DIKE,Journal of Experimental Marine Biology ,1991,07-Feb-24,Y,,USA,New England,Connecticuit,"Disturbed, Restored, Reference",marsh,saline,Not specified,dike impounding of the tidal marsh ,"1978, 1982","installation of a 5-ft (1.5-m) diameter culvert in 1978 and in
1982 a 7-ft (2. I-m) diameter culvert was added. ",8-12 years
110,A198,417,"Fell et al., 1991",REESTABLISHMENT OF MELAMPUS-BIDENTATUS (SAY) AND OTHER MACROINVERTEBRATES ON A RESTORED IMPOUNDED TIDAL MARSH - COMPARISON OF POPULATIONS ABOVE AND BELOW THE IMPOUNDMENT DIKE,Journal of Experimental Marine Biology ,1991,07-Feb-24,Y,,USA,New England,Connecticuit,"Disturbed, Restored, Reference",marsh,saline,Not specified,dike impounding of the tidal marsh ,"1978, 1983","installation of a 5-ft (1.5-m) diameter culvert in 1978 and in
1982 a 7-ft (2. I-m) diameter culvert was added. ",8-12 years
111,A203,424,Ferland and Rochefort 1997,Restoration techniques for Sphagnum-dominated peatlands,Canadian Journal of Botany,1997,07-Feb-24,Y,,Canada,New Brunswick,Maisonnette,"Reference, Restored",peatland,freshwater,Biological resource use,peat harvesting ,1992-1994,"drainage ditches filled, Sphagnum transplanting, fertilization with granular triphosphate ",0-2 years
112,A203,424,Ferland and Rochefort 1997,Restoration techniques for Sphagnum-dominated peatlands,Canadian Journal of Botany,1997,07-Feb-24,Y,,Canada,New Brunswick,Maisonnette,"Reference, Restored",peatland,freshwater,Biological resource use,peat harvesting ,1992-1995,"drainage ditches filled, Sphagnum transplanting, fertilization with granular triphosphate ",0-2 years
113,A205,427,Fiedler 2010 ,"Restoration of prairie fen plants, insects, and abiotic processes, Chapter 3: Differential shifts in resource availability and plant community structure following prairie fen restoration",PhD Thesis Chapter 3: Differential shifts in resource availability and plant community structure following prairie fen restoration ,2010,07-Feb-24,Y,,USA,Michigan,MacCready Reserve,"Reference, Restored",fen,freshwater,Natural system modification,degraded by invasive species and changes in hydrology - glossy buckthron (Frangula alnus L.) ,2008-2009,"management of invasive (herbicide, cutting and flame treatments) ",0-1 years 
114,A206,428,"Fiedler et al., 2011",Rapid Shift in Pollinator Communities Following Invasive Species Removal,Restoration Ecology,2011,08-Feb-24,Y,,USA,Michigan ,MacCready Reserve,"Disturbed, Restored, Reference",fen,freshwater,Natural system modification,degraded by invasive species and changes in hydrology - glossy buckthron (Frangula alnus L.) an invasive shrub,2008-2009,invasive species removal,0-1 years 
115,A207,429,"Filicetti et al., 2019","Caribou Conservation: Restoring Trees on Seismic Lines in Alberta, Canada",Forests,2019,08-Feb-24,Y,,Canada,Alberta,Athabasca Oil Sands,"Disturbed, Restored, Reference",peatland,freshwater,Energy production and mining,underground petroleum exploration ,"2012, 2015","mulching and planting, mounding ","On average, the untreated seismic lines were last disturbed (cleared) ~22 years prior to field measures, while treated seismic lines had restoration techniques applied ~3.8 years prior to field measurements."
116,A208,432,"Findlay et al., 2003",Effects of Phragmites australis removal on marsh nutrient cycling,Wetlands,2003,08-Feb-24,Y,,USA,Connecticuit,Connecticuit River,"Reference, Restored",marsh,freshwater,Natural system modification,invasive species takeover (Phragmites australis),1995-1996,invasive species removal,"pre restoration, 0-2 years "
117,A213,445,"Mushet et al., 2002","Floristic quality assessment of one natural and three restored wetland complexes in North Dakota, USA.",Wetlands,2002,08-Feb-24,Y,,USA,North Dakota ,prairie pothole,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,drained and farmed for agricultural land use ,"1987, 1990, 1993",reseeding to grassland ,"2 years, 5 years, 8 years "
118,A214,451,"Graham et al., 2005","Forms and accumulation of soil P in natural and recently restored peatlands--Upper Klamath Lake, Oregon, USA.",Wetlands,2005,08-Feb-24,Y,,USA,Oregon,Upper Klamath Lake,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,"land drained for cattle grazing, crop cultivation ",1997-2001,re-flooding drained areas and reconstructing channels to promote marsh habitat.,1-5 years
119,A215,453,Fox 2013,"Assessing structural and functional recovery in a restored southern California salt marsh: fish community composition and the diet of juvenile California halibut, Chapter 2: Temporal and Spatial Patterns in Diversity of Fish Assemblages in a newly restored coastal wetland",Masters Thesis Chapter 2: Temporal and Spatial Patterns in Diversity of Fish Assemblages in a newly restored coastal wetland,2013,08-Feb-24,Y,,USA,California,Huntington Beach - Brookhurt and Talbert Marshes ,"Reference, Restored",marsh,saline,Multiple,"fragmentation due to increasing human population along the coast (roadways, development projects), diking for the purpose of oil and gas exploration","1989, 2009 ",dike breaching restoring tidal flow ,"0-1 years, 20-21 years"
120,A218,463,"Fuselier et al., 2012",Composition and Biomass Productivity of Bryophyte Assemblages in Natural and Restored Marshes in the Prairie Pothole Region of Northern Minnesota,Wetlands,2012,09-Feb-24,Y,,USA,Minnesota ,Clay County ,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,land converted for agricultural use ,1977,ditch plugging to flood agricultural lands that had once been marsh ,">10 years, 10-15 years, 34 years "
121,A220,467,"Gaffney et al., 2019",Ecohydrological change following rewetting of a deep-drained northern raised bog,Ecohydrology,2019,09-Feb-24,Y,,Canada,Quebec,The Grande plée Bleue bog ,"Reference, Restored",bog,freshwater,Multiple,"agriculture and forestry practies, urbanization and peat extraction",2010-2011,"installing damns for rewetting, tree harvesting - birch removal (invasive species) ",0-7 years
122,A223,472,Galatowitsch and van der Valk 1996,The vegetation of restored and natural prairie wetlands,Ecological Applications,1996,09-Feb-24,Y,,USA,Iowa,prairie pothole ,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,basin tile drained and used to grow corn and beans ,1988,disruption of tile lines restoring hydrology ,3 years
123,A224,473,Galatowitsch and van der Valk 1997,Vegetation and environmental conditions in recently restored wetlands in the prairie pothole region of the USA,Plant Ecology ,1996,09-Feb-24,Y,,USA,Iowa,prairie pothole ,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,basin tile drained and used to grow corn and beans ,1988,disruption of tile lines restoring hydrology ,3 years
124,A229,492,"Glatzel et al., 2004","Carbon dioxide and methane production potentials of peats from natural, harvested, and restored sites, eastern Quebec, Canada",Wetlands,2004,12-Feb-24,Y,,Canada,Quebec,Riviere-du-Loup,"Disturbed, Restored, Reference",peatland,freshwater,Biological resource use,peat extraction,"1969, 1995, 1997","raising the water table and applying plant material containing Sphagnum diaspores and mulch, drain blocking, cessation of peat extraction","2 years, 4 years, 30 years"
125,A252,554,"Harris et al., 2021",Establishment of soil strength in a nourished wetland using thin layer placement of dredged sediment,PLOS One,2021,14-Feb-24,Y,,USA ,New Jersey ,Avalon,"Reference, Restored",marsh,saline,Not specified,dredging? unclear ,2016,deposition of dredged sediment across five containment sites The sediment was contained using coir logs that were slashed after stabilization of the dredged sediment (approximately 6 months) to expedite coir log deterioration. ,3 years
126,A258,560,Hartzog 2015,The Effects of Restoration and Plant Community Change on Denitrification and Investigations into Denitrification Measurement Techniques,"PhD Thesis Chapter 2: Denitrification potential appears to be similar in natural and restored wetlands and in
native- vs. invasive-dominated plant communities",2015,14-Feb-24,Y,,USA,Wisconsin,Southern Wisconsin,"Disturbed, Restored, Reference",wetland,freshwater,Multiple,invasion of non-native genotypes of Phalaris arundinacea due to watershed disturbance including eutrophication and hydrologic modification for agriculture,unclear,"plugging ditches, breaking drainage tiles",unclear
127,A268,583,"Herrick et al., 2007",Seed banks in diked and undiked great lakes coastal wetlands,The American Midland Naturalist,2007,15-Feb-24,Y,,USA,Michigan ,Lake Huron/Lake Michigan,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,dikes constructed using dredged sediment,unclear,breaching dikes to restore hyrdology ,unclear
128,A269,588,Hinkle and Mitsch 2005,Salt marsh vegetation recovery at salt hay farm wetland restoration sites on Delaware Bay,Ecological Engineering,2005,15-Feb-24,Y,,USA,New Jersey ,Delaware Estuary ,"Reference, Restored",marsh,saline,Agriculture and aquaculture,dikes constructed to convert land for farming,1996-1998,dike breaching to restore tidal inundation and drainage ,0-3 years
129,A270,590,"Hogan et al., 2004",Phosphorus retention and soil organic carbon in restored and natural freshwater wetlands,Wetlands,2004,15-Feb-24,Y,,USA,Maryland,Chesapeake Bay,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,land conversion to ditched agricultural fields,"1986, 1992",hydrology restored,"5 years, 11 years"
130,A272,593,Holmen 2011,"Riparian Wetland Response to Livestock Exclusion In the Lower Columbia River Basin
",Masters Thesis Chapter 1 ,2011,15-Feb-24,Y,,USA,Oregon,Columbia River Basin,"Disturbed, Restored, Reference",wetland,freshwater,Agriculture and aquaculture,land conversion for cattle grazing ,"1996, 2006","cessation of grazing, passive restoration ","3 years, 13 years"
131,A272,593,Holmen 2011,"Riparian Wetland Response to Livestock Exclusion In the Lower Columbia River Basin
",Masters Thesis Chapter 1,2011,15-Feb-24,Y,,USA,Oregon,Columbia River Basin,"Disturbed, Restored, Reference",wetland,freshwater,Agriculture and aquaculture,land conversion for cattle grazing ,"1996, 2007","cessation of grazing, passive restoration ","3 years, 13 years"
132,A273,594,"Holmquist et al., 2011","Efficacy of Low and High Complexity Vegetation Treatments for Reestablishing Terrestrial Arthropod Assemblages during Montane Wetland Restoration
",Restoration Ecology ,2011,15-Feb-24,Y,,USA,California,Sequoia National Park ,"Reference, Restored",wetland,freshwater,Multiple,"destruction from historical cattle grazing, road construction in 1934 resulting in gully formation",2007-2008,"filling of gullies and restoration of sheet flow in 2007, planting in 2008 ",2-5 years
133,A274,596,Hood 2014,"Differences in tidal channel network geometry between reference marshes and marshes restored by historical dike breaching
",Ecological Engineering,2014,15-Feb-24,Y,,USA,Washington,Puget Sound,"Reference, Restored",marsh,saline,Multiple,conversion to agriculture and urban use,unclear,breaching dikes to restore hyrdology and tidal inundation,15 years
134,A276,599,Hopple and Craft 2013,"Managed disturbance enhances biodiversity of restored wetlands in the agricultural Midwest
",Ecological Engineering,2013,15-Feb-24,Y,,USA,Indiana,Kankakee River,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,ditching to convert land for agricultural use,1999-2002,"filling drainage ditches with sediment, managed since with prescribed burns, seeding and treatment with herbicide to prevent undesired species ",9-11 years
135,A282,610,Howe and Simenstad 2011,"Isotopic Determination of Food Web Origins in Restoring and Ancient Estuarine Wetlands of the San Francisco Bay and Delta
",Estuaries and Coasts,2011,16-Feb-24,Y,,USA,California,San Francisco Bay ,"Reference, Restored",marsh,saline,Multiple,disruption of hydrology for evaporation (salt ponds) and for agricultural use ,"1930, 1978, 1992",tidal access restored ,"11 years, 25 years, 73 years"
136,A282,610,Howe and Simenstad 2012,"Isotopic Determination of Food Web Origins in Restoring and Ancient Estuarine Wetlands of the San Francisco Bay and Delta
",Estuaries and Coasts,2011,16-Feb-24,Y,,USA,California,San Francisco Bay ,"Reference, Restored",marsh,saline,Multiple,disruption of hydrology for evaporation (salt ponds) and for agricultural use ,"1930, 1978, 1993",tidal access restored ,"11 years, 25 years, 73 years"
137,A292,632,Huspeni and Lafferty 2004,"Using larval trematodes that parasitize snails to evaluate a saltmarsh restoration project
",Ecological Applciations ,2004,16-Feb-24,Y,,USA,California,Carpinteria Salt Marsh ,"Reference, Restored",marsh,saline,Residential and commercial development,hydrology disrupted through filling preventing tidal connection,1997,"channels constructed to improve tidal flow, planting of native flora",0-6 years
138,A300,651,Jivoff and Able 2003,"Evaluating salt marsh restoration in Delaware Bay: The response of blue crabs, Callinectes sapidus, at former salt hay farms
",Estuaries,2003,18-Feb-24,Y,,USA,New Jersey,Delaware Bay,"Reference, Restored",marsh,saline,Energy production and mining,installation of dikes for salt hay farming ,1996-1997,restoration of hydrology; construction of new creeks to provide suitable hydroperiods for marsh vegetatio,0-1 years 
139,A319,689,Kellogg and Bridgham 2002,"Colonization during early succession of restored freshwater marshes
",Canadian Journal of Botany,2002,19-Feb-24,Y,,USA,Indiana,northern Indiana,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,wetland drained for land cultivation ,"1993-1994 (planting), 1994 (hydrology restored), 1996 (planting) ","restoration of hydrology by removal of drainage tiles, construction of earthen berms and installation of water control systems, replanting of native vegetation",2-3 years
140,A322,701,"Keshta et al., 2021","A new in situ method showed greater persistence of added soil organic matter in natural than restored wetlands
",Restoration Ecology ,2021,19-Feb-24,Y,,USA,Maryland,Patuxent River,"Reference, Restored",wetland,freshwater,Not specified,unclear,1992,restoration of hydrology by scraping to reduce elevation,23-24 years 
141,A323,706,Kettenring and Galatowitsch 2011,"Carex Seedling Emergence in Restored and Natural Prairie Wetlands
",Wetlands,2011,19-Feb-24,Y,,USA,Iowa,prairie pothole,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,land conversion for soybean and corn production ,"2001, 2002-2003","reflooding and revegetation of native plant species, primary sedges ",0-1 years 
142,A324,707,Kettenring and Galatowitsch 2012,"Seed Rain of Restored and Natural Prairie Wetlands
",Wetlands,2011,19-Feb-24,Y,,USA,Iowa,prairie pothole,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,land conversion for soybean and corn production ,"2001, 2002-2004","reflooding and revegetation of native plant species, primary sedges ",0-1 years 
143,A328,713,Kidd 2017,"Ecosystem Recovery in Estuarine Wetlands of the Columbia River Estuary
",PhD Thesis Chapter 2: Evaluating Trajectories and Drivers of Oligohaline Tidal Wetland Ecosystem Recovery,2017,19-Feb-24,Y,,USA,Oregon,Columbia River Basin,"Reference, Restored",wetland,freshwater ,Agriculture and aquaculture,"disruption of hydrology, overgrazing by cattle","1959, 1980, 1988, 2005-2008, 2010-2012","dike breaching, cattle exclusion","54-55 years, 33-34 years, 25-26 years, 5-8 years, 6-9 years, 1-3 years"
144,A329,714,Kimball and Able 2007,"Tidal utilization of nekton in Delaware bay restored and reference intertidal salt marsh creeks
",Estuaries and Coasts,2007,19-Feb-24,Y,,USA,New Jersey ,Delaware Bay ,"Reference, Restored",marsh,saline,Energy production and mining,disruption of hydrology for salt hay farming,1996,restoration of normal tidal inundation and drainage,8-9 years
145,A330,715,Kimball and Able 2007,"Nekton utilization of intertidal salt marsh creeks: Tidal influences in natural Spartina, invasive Phragmites, and marshes treated for Phragmites removal
",Journal of Experimental Marine Biology and Ecology ,2007,19-Feb-24,Y,,USA,New Jersey ,Alloway Creek/Delaware Bay,"Disturbed, Restored, Reference",marsh,saline,Natural system modification,invasive species (Phragmites australis) ,1996-1998 ,treatment of Phragmites via herbicide and burning,6-8 years 
146,A332,717,"Kimball et al., 2010","Evaluation of Long-Term Response of Intertidal Creek Nekton to Phragmites australis (Common Reed) Removal in Oligohaline Delaware Bay Salt Marshes
",Restoration Ecology ,2010,19-Feb-24,Y,,USA,New Jersey ,Alloway Creek/Delaware Bay,"Disturbed, Restored, Reference",marsh,saline,Natural system modification,invasive species (Phragmites australis) ,1996-1998 ,treatment of Phragmites via herbicide and burning,1-9 years
147,A348,756,"Kreiling et al., 2013","Wetland Management Reduces Sediment and Nutrient Loading to the Upper Mississippi River
",Journal of Environmental Quality ,2013,20-Feb-24,Y,,USA,Wisconsin,Halfway Creek Marsh Complex ,"Reference, Restored",marsh,freshwater,Agriculture and aquaculture,land drained by ditching and dike construction for agricultural use ,1999,restoration of hydrology and management though manipulation of a stop-log structure,5-7 years 
148,A353,770,"Kuwabara et al., 2012","Changes in benthic nutrient sources within a wetland after hydrologic reconnection
",Environmental Toxicology ,2012,20-Feb-24,Y,,USA,Oregon,Agency Lake/Upper Klamath Lake,"Reference, Restored",wetland,freshwater,Agriculture and aquaculture,"long term agricultural use, disruption of hydrology ",2007,restoration of hydrology through engineered levee breaching,0-3 years
149,A362,786,LaPan 2015,"Bird, reptile, and amphibian response to habitat enhancement of St. Lawrence River coastal wetlands",Masters Thesis Chapter 2 ,2015,21-Feb-24,Y,,USA,New York ,Upper St. Lawrence River,"Reference, Restored",wetland,freshwater,Multiple,"agricultural land uses, invasive species, climate change, and water level management related to the St. Lawrence Seaway.",2012-2013,restoration of hydrology through pothole and channel excavations in two wetlands and installation of water level control structures in three wetlands,0-1 years
150,A366,797,"Lazcano et al., 2018",Short-term effects of fen peatland restoration through the moss layer transfer technique on the soil CO2 and CH4 efflux,Ecological Engineering,2018,21-Feb-24,Y,,Canada,Quebec ,Bic-Saint-Fabien,"Reference, Restored",fen,freshwater,Biological resource use,peat mining,2008-2009,"altering the peatland's hydrology by blocking drainage ditches and constructing dykes to retain snowmelt and elevate the water table, planting of moss diaspores",
