"acc_num","eppi_id","short_title","title","journal","year","date_assessed","person","include","reason","country","geographic_region","site_details","comparator","wetland_class","saline_or_freshwater","disturbance_category","disturbance_type","restoration_time_period","restoration_activity","time_since_restoration","study_information","notes","measured_outcome","other_outcome","multivariate_community_composition","univariate_diversity_metric","richness","abundance_density","cover","biomass","stem_density","litter_biomass","canopy_height_structure","primary_productivity","body_size","bulk_density","soil_organic_matter","organic_carbon","cation_exchange_capacity","total_carbon","phosphorus","microbial_biomass","physiochemical_soil_property","soil_nutrients","carbon_mineralization","physiochemical_water_properties","plant_tissues_chemical_analysis","eddy_flux_measurements","ghg_emissions","gross_ecosystem_productivity","hydrology","other"
"A203","424","Ferland and Rochefort 1997","Restoration techniques for Sphagnum-dominated peatlands","Canadian Journal of Botany","1997","07-Feb-24","KG","Y","","Canada","New Brunswick","Maisonnette","Reference, Restored","peatland","freshwater","Biological resource use","peat harvesting ","1992-1994","drainage ditches filled, Sphagnum transplanting, fertilization with granular triphosphate ","0-2 years","Study Site: Maisonnette New Brunswick. In summer 1992, a 2.16-ha portion of the peatland was set aside for restoration practices. Perimeter drainage ditches were filled with in situ peat and leveled in fall 1992 to allow rewetting. Thirty-five water wells were installed in fall 1992 to monitor water table fluctuations. Water Chemistry Analysis: Water chemistry parameters were monitored in 1992, 1993, and 1994. Water samples were collected from pits dug at the study site and a natural area in October 1992, May 1993, and May 1994. Parameters analyzed included pH, conductivity, cations (Ca, Mg, K, Na), anions (Cl, NO3, SO4), NH4-N, and total P. The study employed a split-split-plot experiment in a completely randomized design. Six main plots (40 x 40 m) were designated for creating varied microrelief. Each main plot was divided into four subplots for reintroducing Sphagnum diaspores and companion plant species. Each subplot was further divided into two sub-subplots for amendment trials. Microrelief: Surface roughness was created in three main plots by excavator tracks. Sphagnum and companion plant species were introduced based on their potential to establish on different microhabitats.Companion Plant Species Introduction: Four Sphagnum species and companion plant species were reintroduced in May and June 1993. Sphagnum fragments were hand-collected, cut into 2-cm fragments, mixed, and spread on each plot. Companion plant species included ericaceous shrubs, herbaceous plants, and brown mosses. Phosphorus Amendment: Half plots of vascular plants were fertilized with granular triphosphate in June 1993. In May 1994, a liquid phosphorus solution was applied during the reintroduction of Sphagnum diaspores. Vegetation Evaluation: In September 1994, the success of Sphagnum and companion species establishment was evaluated. Capitula counts and percent cover of vegetation were assessed in quadrats. Statistical Analysis: Analyses of variance were conducted to assess treatment effects, followed by Tukey's test for significant differences. Capitulum counts data were transformed prior to analysis to reduce heterogeneity of variances.","Testing restoration methods in terms of what method of transplant is most effective, may or may not want to include","Vegetation","",NA,NA,1,1,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A203","424","Ferland and Rochefort 1997","Restoration techniques for Sphagnum-dominated peatlands","Canadian Journal of Botany","1997","07-Feb-24","KG","Y","","Canada","New Brunswick","Maisonnette","Reference, Restored","peatland","freshwater","Biological resource use","peat harvesting ","1992-1994","drainage ditches filled, Sphagnum transplanting, fertilization with granular triphosphate ","0-2 years","Study Site: Maisonnette New Brunswick. In summer 1992, a 2.16-ha portion of the peatland was set aside for restoration practices. Perimeter drainage ditches were filled with in situ peat and leveled in fall 1992 to allow rewetting. Thirty-five water wells were installed in fall 1992 to monitor water table fluctuations. Water Chemistry Analysis: Water chemistry parameters were monitored in 1992, 1993, and 1994. Water samples were collected from pits dug at the study site and a natural area in October 1992, May 1993, and May 1994. Parameters analyzed included pH, conductivity, cations (Ca, Mg, K, Na), anions (Cl, NO3, SO4), NH4-N, and total P. The study employed a split-split-plot experiment in a completely randomized design. Six main plots (40 x 40 m) were designated for creating varied microrelief. Each main plot was divided into four subplots for reintroducing Sphagnum diaspores and companion plant species. Each subplot was further divided into two sub-subplots for amendment trials. Microrelief: Surface roughness was created in three main plots by excavator tracks. Sphagnum and companion plant species were introduced based on their potential to establish on different microhabitats.Companion Plant Species Introduction: Four Sphagnum species and companion plant species were reintroduced in May and June 1993. Sphagnum fragments were hand-collected, cut into 2-cm fragments, mixed, and spread on each plot. Companion plant species included ericaceous shrubs, herbaceous plants, and brown mosses. Phosphorus Amendment: Half plots of vascular plants were fertilized with granular triphosphate in June 1993. In May 1994, a liquid phosphorus solution was applied during the reintroduction of Sphagnum diaspores. Vegetation Evaluation: In September 1994, the success of Sphagnum and companion species establishment was evaluated. Capitula counts and percent cover of vegetation were assessed in quadrats. Statistical Analysis: Analyses of variance were conducted to assess treatment effects, followed by Tukey's test for significant differences. Capitulum counts data were transformed prior to analysis to reduce heterogeneity of variances.","Testing restoration methods in terms of what method of transplant is most effective, may or may not want to include","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,"",1,NA,NA,NA,NA,"1",""
"A205","427","Fiedler 2010 ","Restoration of prairie fen plants, insects, and abiotic processes, Chapter 3: Differential shifts in resource availability and plant community structure following prairie fen restoration","PhD Thesis Chapter 3: Differential shifts in resource availability and plant community structure following prairie fen restoration ","2010","07-Feb-24","KG","Y","","USA","Michigan","MacCready Reserve","Reference, Restored","fen","freshwater","Natural system modification","degraded by invasive species and changes in hydrology - glossy buckthron (Frangula alnus L.) ","2008-2009","management of invasive (herbicide, cutting and flame treatments) ","0-1 years ","Study Site and Restoration Activities: The study was conducted at the Michigan State University MacCready Reserve in Clarklake, Liberty Township, Jackson County, Michigan. In September 2007, the site was assessed for potential restoration of prairie fen habitats, and twelve 25 x 25 m replicate plots containing mature F. alnus plants were delineated. Restoration of six plots began in 2008, involving cutting F. alnus and treating cut stumps with herbicide, followed by burning brush piles. Invasive plants were managed in 2008 and 2009 using herbicides, cutting, and flame treatments.
Experimental Design: The study created two treatments: invaded (control with unmanaged glossy buckthorn) and restored (glossy buckthorn removed and invasives managed). Uninvaded reference plots were also delineated.
Nine 1 m^2 sampling quadrats were established in each plot.
Sampling: Soil characteristics were measured from soil cores collected in October 2007, September 2008, and September 2009. Plant community, light availability, and microhabitat parameters were measured in all quadrats in September 2007, 2008, and 2009. Statistical Analysis: Standardization of cover types and transformations of variables were performed for ANOVA analyses. ANOVA was used to examine treatment, time, and interaction effects. Nonmetric multidimensional scaling (NMDS) was used to examine shifts in characteristics over time, followed by analysis of similarity (ANOSIM) for comparisons.","","Vegetation","",NA,1,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A205","427","Fiedler 2010 ","Restoration of prairie fen plants, insects, and abiotic processes, Chapter 3: Differential shifts in resource availability and plant community structure following prairie fen restoration","PhD Thesis Chapter 3: Differential shifts in resource availability and plant community structure following prairie fen restoration ","2010","07-Feb-24","KG","Y","","USA","Michigan","MacCready Reserve","Reference, Restored","fen","freshwater","Natural system modification","degraded by invasive species and changes in hydrology - glossy buckthron (Frangula alnus L.) ","2008-2009","management of invasive (herbicide, cutting and flame treatments) ","0-1 years ","Study Site and Restoration Activities: The study was conducted at the Michigan State University MacCready Reserve in Clarklake, Liberty Township, Jackson County, Michigan. In September 2007, the site was assessed for potential restoration of prairie fen habitats, and twelve 25 x 25 m replicate plots containing mature F. alnus plants were delineated. Restoration of six plots began in 2008, involving cutting F. alnus and treating cut stumps with herbicide, followed by burning brush piles. Invasive plants were managed in 2008 and 2009 using herbicides, cutting, and flame treatments.
Experimental Design: The study created two treatments: invaded (control with unmanaged glossy buckthorn) and restored (glossy buckthorn removed and invasives managed). Uninvaded reference plots were also delineated.
Nine 1 m^2 sampling quadrats were established in each plot.
Sampling: Soil characteristics were measured from soil cores collected in October 2007, September 2008, and September 2009. Plant community, light availability, and microhabitat parameters were measured in all quadrats in September 2007, 2008, and 2009. Statistical Analysis: Standardization of cover types and transformations of variables were performed for ANOVA analyses. ANOVA was used to examine treatment, time, and interaction effects. Nonmetric multidimensional scaling (NMDS) was used to examine shifts in characteristics over time, followed by analysis of similarity (ANOSIM) for comparisons.","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,"",NA,NA,NA,NA,NA,"",""
"A206","428","Fiedler et al., 2011","Rapid Shift in Pollinator Communities Following Invasive Species Removal","Restoration Ecology","2011","08-Feb-24","KG","Y","","USA","Michigan","MacCready Reserve","Disturbed, Restored, Reference","fen","freshwater","Natural system modification","degraded by invasive species and changes in hydrology - glossy buckthron (Frangula alnus L.) an invasive shrub","2008-2009","invasive species removal","0-1 years ","Study Site: The study was conducted in a prairie fen at the Michigan State University MacCready Reserve in Clarklake, Liberty Township, Jackson County, Michigan. The restoration activities began in February 2008, with invasive F. alnus being cleared from 6 replicate plots, while 6 other plots were left with F. alnus. Three 25x25 m uninvaded reference areas were also delineated.
Sampling: sampling for plant diversity and cover, as well as pollinator abundance, was conducted during the 2008 and 2009 growing seasons. Plant diversity and cover were assessed using 9 m2 quadrats laid out on a grid within each plot, while pollinators were sampled using observational sampling and pollinator bowl traps on a monthly basis from June to September in both years. Statistical analysis: involved comparing the abundance, diversity, and community similarity of plants, bees, and butterflies in invaded, restored, and uninvaded plots in 2008 and 2009. Two-way ANOVAs were performed to investigate differences in plant and pollinator abundance and Simpsons diversity with treatment (invaded, removal, and uninvaded reference) and time since restoration (year 1 and year 2). Community-level shifts in plant, bee, and butterfly abundance with restoration were examined using nonmetric multidimensional scaling (NMDS) to visualize differences by treatment and year on community metrics. Analysis of similarity (ANOSIM) was then performed to examine statistical differences by treatment in community metrics. Overall, the restoration activities began in 2008, and data collection and analysis were conducted over the subsequent years, with comparisons made between restored, invaded, and uninvaded plots.","Simpsons diversity, NMDS","Other","Bee/Butterfly (Pollinators)",1,1,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A206","428","Fiedler et al., 2011","Rapid Shift in Pollinator Communities Following Invasive Species Removal","Restoration Ecology","2011","08-Feb-24","KG","Y","","USA","Michigan","MacCready Reserve","Disturbed, Restored, Reference","fen","freshwater","Natural system modification","degraded by invasive species and changes in hydrology - glossy buckthron (Frangula alnus L.) an invasive shrub","2008-2009","invasive species removal","0-1 years ","Study Site: The study was conducted in a prairie fen at the Michigan State University MacCready Reserve in Clarklake, Liberty Township, Jackson County, Michigan. The restoration activities began in February 2008, with invasive F. alnus being cleared from 6 replicate plots, while 6 other plots were left with F. alnus. Three 25x25 m uninvaded reference areas were also delineated.
Sampling: sampling for plant diversity and cover, as well as pollinator abundance, was conducted during the 2008 and 2009 growing seasons. Plant diversity and cover were assessed using 9 m2 quadrats laid out on a grid within each plot, while pollinators were sampled using observational sampling and pollinator bowl traps on a monthly basis from June to September in both years. Statistical analysis: involved comparing the abundance, diversity, and community similarity of plants, bees, and butterflies in invaded, restored, and uninvaded plots in 2008 and 2009. Two-way ANOVAs were performed to investigate differences in plant and pollinator abundance and Simpsons diversity with treatment (invaded, removal, and uninvaded reference) and time since restoration (year 1 and year 2). Community-level shifts in plant, bee, and butterfly abundance with restoration were examined using nonmetric multidimensional scaling (NMDS) to visualize differences by treatment and year on community metrics. Analysis of similarity (ANOSIM) was then performed to examine statistical differences by treatment in community metrics. Overall, the restoration activities began in 2008, and data collection and analysis were conducted over the subsequent years, with comparisons made between restored, invaded, and uninvaded plots.","","Vegetation","",NA,1,1,1,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A207","429","Filicetti et al., 2019","Caribou Conservation: Restoring Trees on Seismic Lines in Alberta, Canada","Forests","2019","08-Feb-24","KG","Y","","Canada","Alberta","Athabasca Oil Sands","Disturbed, Restored, Reference","peatland","freshwater","Energy production and mining","underground petroleum exploration ","2012, 2015","mulching and planting, mounding ","On average, the untreated seismic lines were last disturbed (cleared) ~22 years prior to field measures, while treated seismic lines had restoration techniques applied ~3.8 years prior to field measurements.","Comparison, untreated vs. treated (restored) vs. undisturbed (reference) sites.                                                                Study Area: Athabasca Oil Sands of northeastern Alberta where seismic lines were initially cleared in the mid-1980s to late-1990s, and restoration efforts (MSPs - mulching and planting) were applied between 2012 and 2015. Restoration Methods: MSPs were applied to seismic lines to facilitate tree regeneration. Plantings reflected species present in adjacent forests. Seismic lines were mounded every 6 meters, with planting densities of around 1,300 stems per hectare. Mounding was accomplished using a 20 tonne construction excavator with a bucket attachment. Site preparation was completed by excavating and inverting material, forming a mound of mineral and organic soil and an adjacent depression. Equipment operators were instructed to make mounds that were 0.75 m in width, 1 m in length, and 0.80 m in height, allowing for settling, which was expected to occur with mounded organics. Three mounds were placed across the width of the seismic line, in a diamond or checkered pattern, regardless of the seismic line width.                     Sampling and Field Methods: Sample sites were selected based on specific criteria to avoid pseudo replication. Each site consisted of paired plots: one on the seismic line and one in the adjacent forest (reference). Tree regeneration and forest stand conditions were measured along 30-meter transects.
Regeneration Density Analysis: Generalized linear mixed effects models were used to analyze tree regeneration density in relation to restoration area, treatment, plot location, and stand characteristics. Separate analyses were conducted for each ecosite due to their influence on regeneration patterns.
Regeneration Patterns Based on Seismic Line Characteristics: Regeneration density was analyzed with respect to seismic line characteristics such as orientation, width, stand conditions, and ground cover.
Tree Regeneration Height and Time Since Disturbance: Tree height on seismic lines and time since disturbance were examined, but no significant responses were observed.","Bog and fen ","Vegetation","",NA,NA,NA,1,1,NA,"1",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A208","432","Findlay et al., 2003","Effects of Phragmites australis removal on marsh nutrient cycling","Wetlands","2003","08-Feb-24","KG","Y","","USA","Connecticut","Connecticuit River","Reference, Restored","marsh","freshwater","Natural system modification","invasive species takeover (Phragmites australis)","1995-1996","invasive species removal","pre restoration, 0-2 years ","Study Site: Connecticuit River, USA. In September 1995, before any treatments were applied, biomass, litter, and sediment organic matter were sampled in three different plant stands: Typha, Phragmites-reference, and Phragmites-removed. Biomass was collected from living plants, litter was collected from the ground surface, and belowground biomass was collected using a metal corer to a depth of 15 cm.
Treatment: The reed-removal treatment involved herbiciding/cutting the reeds in the summer of 1996, resulting in no plant growth in the treated site the following year (1996) and a thick layer of plant litter covering the area. By July 1997, the litter layer had disappeared, likely lost to export during winter storms, and small seedlings of various plant species were observed.
Sampling: Equilibrators were constructed and deployed to collect porewater samples, and sediment cores were collected for denitrification enzyme assays. Equilibrators were placed in each vegetation plot before treatment (September 1995) and during mid-July of 1996–1998. Porewater was collected and analyzed for ions (NO3-, PO4-, NH4+) using ion chromatography and automated wet chemistry. Additionally, total organic matter and sediment water content were measured in sediment cores collected near the equilibrator locations. Aboveground biomass, litter standing stocks, and belowground biomass were compared among the different plant stands and treatments. ","","Vegetation","",NA,NA,NA,NA,NA,1,"",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A208","432","Findlay et al., 2003","Effects of Phragmites australis removal on marsh nutrient cycling","Wetlands","2003","08-Feb-24","KG","Y","","USA","Connecticut","Connecticuit River","Reference, Restored","marsh","freshwater","Natural system modification","invasive species takeover (Phragmites australis)","1995-1996","invasive species removal","pre restoration, 0-2 years ","Study Site: Connecticuit River, USA. In September 1995, before any treatments were applied, biomass, litter, and sediment organic matter were sampled in three different plant stands: Typha, Phragmites-reference, and Phragmites-removed. Biomass was collected from living plants, litter was collected from the ground surface, and belowground biomass was collected using a metal corer to a depth of 15 cm.
Treatment: The reed-removal treatment involved herbiciding/cutting the reeds in the summer of 1996, resulting in no plant growth in the treated site the following year (1996) and a thick layer of plant litter covering the area. By July 1997, the litter layer had disappeared, likely lost to export during winter storms, and small seedlings of various plant species were observed.
Sampling: Equilibrators were constructed and deployed to collect porewater samples, and sediment cores were collected for denitrification enzyme assays. Equilibrators were placed in each vegetation plot before treatment (September 1995) and during mid-July of 1996–1998. Porewater was collected and analyzed for ions (NO3-, PO4-, NH4+) using ion chromatography and automated wet chemistry. Additionally, total organic matter and sediment water content were measured in sediment cores collected near the equilibrator locations. Aboveground biomass, litter standing stocks, and belowground biomass were compared among the different plant stands and treatments. ","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A213","445","Mushet et al., 2002","Floristic quality assessment of one natural and three restored wetland complexes in North Dakota, USA.","Wetlands","2002","08-Feb-24","KG","Y","","USA","North Dakota","prairie pothole","Reference, Restored","wetland","freshwater","Agriculture and aquaculture","drained and farmed for agricultural land use ","1987, 1990, 1993","reseeding to grassland ","2 years, 5 years, 8 years ","Study Site: prairie pothole region of North Dakota. Wetlands from four different complexes were selected based on similarity in size and hydroperiod to wetlands at Cottonwood Lake. Transects were established radiating from the center of each wetland, and plots were randomly located along these transects. Species within plots were identified, and additional species found within the wetlands were also recorded.
Floristic Quality Assessment:
Panel-Assigned C Values: Floristic Quality Index (FQI) was calculated for each wetland using C values provided by the Northern Great Plains Floristic Quality Assessment Panel. Mean C values and FQI were calculated for each wetland complex.
Data-Generated C Values: C values were assigned to native species occurring in sampled wetlands based on their distribution across different wetland types. These C values were then used to estimate C ? and FQI for each wetland.
Species Richness Calculation: Species richness was calculated for each wetland, including both native and non-native species. Average species richness estimates and the percentage of native species were determined for each wetland complex.","","Vegetation","",NA,NA,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A214","451","Graham et al., 2005","Forms and accumulation of soil P in natural and recently restored peatlands--Upper Klamath Lake, Oregon, USA.","Wetlands","2005","08-Feb-24","KG","Y","","USA","Oregon","Upper Klamath Lake","Reference, Restored","marsh","freshwater","Agriculture and aquaculture","land drained for cattle grazing, crop cultivation ","1997-2001","re-flooding drained areas and reconstructing channels to promote marsh habitat.","1-5 years","Study Site: Upper Klamath Lake, Oregon. Comparison of two reference marshes vs. three recently restored marshes. Marsh drainage for agriculture began in 1889, reducing marsh area significantly. Restoration efforts started in 1993, aiming to reestablish natural hydrologic conditions, plant communities, and wildlife habitats. Restoration activities included re-flooding drained areas and reconstructing channels to promote marsh habitat.
Field Sampling and Analysis: Soil cores were collected from three natural and three recently restored marshes surrounding Upper Klamath Lake on July 14-17, 2002 using an 8.5-cmdiameter stainless steel piston soil corer. Two soil cores, each 60 cm long, were collected from representative sampling locations in three natural marshes adjacent to Upper Klamath Lake. Soil cores were sectioned into 2-cm increments and analyzed separately for determination of recent (~30yr) and historic (~1 00 yr) rates of peat accretion and P accumulation. The cores were sectioned and analyzed for various parameters, including bulk density, organic carbon, total nitrogen, and total phosphorus. Phosphorus fractionation was performed to assess different forms of phosphorus in the soil. Statistical Analyses: ANOVA to test for differences between natural and restored marshes, sampling locations, and soil depths.","peatland in title, marsh in study*","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A215","453","Fox 2013","Assessing structural and functional recovery in a restored southern California salt marsh: fish community composition and the diet of juvenile California halibut, Chapter 2: Temporal and Spatial Patterns in Diversity of Fish Assemblages in a newly restored coastal wetland","Masters Thesis Chapter 2: Temporal and Spatial Patterns in Diversity of Fish Assemblages in a newly restored coastal wetland","2013","08-Feb-24","KG","Y","","USA","California","Huntington Beach - Brookhurt and Talbert Marshes ","Reference, Restored","marsh","saline","Multiple","fragmentation due to increasing human population along the coast (roadways, development projects), diking for the purpose of oil and gas exploration","1989, 2009 ","dike breaching restoring tidal flow ","0-1 years, 20-21 years","Study Site: Huntington Beach, California. Sampling: fish abundance surveys were conducted over a two-year period in Brookhurst and Talbert Marshes. Sampling occurred monthly from July 2009 to June 2010 (Year 1) and quarterly from July 2010 to June 2011 (Year 2). Six sites were randomly selected within each marsh, with inner and outer locations sampled on each site. Surveys were conducted using a beach seine net deployed parallel to the shore, and all captured fish were identified, counted, and measured. Statistical analysis: Fish abundance data were analyzed separately by year, and univariate measures of community structure such as species richness, Shannon-Wiener diversity index, and species evenness were calculated for each sample. Multivariate approaches, including non-metric multidimensional scaling (MDS) and canonical analysis of principle coordinates (CAP), were used to assess differences in fish community structure between marshes and among seasons. Differences in feeding habits among fish species were also investigated, and species were assigned to one of three foraging guilds based on their feeding strategy and habitat association: planktivores, benthic carnivores, and midwater carnivores. Average abundances and standard lengths of individuals from each guild were compared between marshes using two-sample t-tests on log-transformed data.","NMDS","Fish","",1,1,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A218","463","Fuselier et al., 2012","Composition and Biomass Productivity of Bryophyte Assemblages in Natural and Restored Marshes in the Prairie Pothole Region of Northern Minnesota","Wetlands","2012","09-Feb-24","KG","Y","","USA","Minnesota","Clay County ","Reference, Restored","marsh","freshwater","Agriculture and aquaculture","land converted for agricultural use ","1977","ditch plugging to flood agricultural lands that had once been marsh ",">10 years, 10-15 years, 34 years ","Study Site: The study was conducted in 32 marshes located within 10 different Waterfowl Production Areas (WPA) in Clay County, Minnesota. These marshes ranged from recently restored to natural wetlands. Restored marshes were classified into three categories based on the number of years since restoration: less than 10 years, between 10 and 15 years, and 34 years old.
Sampling Methods: Bryophytes were collected along four transects at the cardinal compass points in each wetland. Transects were 25 meters long and started in shallow water, extending outward through different habitats. Habitats were categorized as wetland, mesic, or upland based on their characteristics. A 60?×?60 cm quadrat divided into 10?×?10 cm squares was used to quantify bryophyte coverage. Bryophytes were sampled at six systematically placed points on each transect.
Bryophyte Identification and Analysis: Bryophyte samples were collected, dried, and identified in the lab. Sporophytes were noted and tabulated.
Bryophyte coverage was calculated as the number of squares occupied by bryophytes in each quadrat, and species richness was calculated as the number of species encountered in each quadrat. Coverage and richness were averaged by transect and marsh and compared among wetland age categories and habitats.
Additional Sampling: After systematic collections, additional sampling was conducted to collect species bearing sporophytes and to capture species that may have been missed in systematic samples along transects.
Soil and Water Chemistry: Soil samples were taken from each location for analysis of various parameters including nitrate nitrogen, phosphorus, potassium, pH, soluble salts, and organic matter. Water pH and phosphate levels were measured at each marsh.
Biomass Measurement: Bryophytes were collected for biomass measurement at a subset of wetlands using similar transect methods. Bryophyte tissues were separated from other materials, dried, and weighed.","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,"",1,NA,NA,NA,NA,"",""
"A218","463","Fuselier et al., 2012","Composition and Biomass Productivity of Bryophyte Assemblages in Natural and Restored Marshes in the Prairie Pothole Region of Northern Minnesota","Wetlands","2012","09-Feb-24","KG","Y","","USA","Minnesota","Clay County ","Reference, Restored","marsh","freshwater","Agriculture and aquaculture","land converted for agricultural use ","1977","ditch plugging to flood agricultural lands that had once been marsh ",">10 years, 10-15 years, 34 years ","Study Site: The study was conducted in 32 marshes located within 10 different Waterfowl Production Areas (WPA) in Clay County, Minnesota. These marshes ranged from recently restored to natural wetlands. Restored marshes were classified into three categories based on the number of years since restoration: less than 10 years, between 10 and 15 years, and 34 years old.
Sampling Methods: Bryophytes were collected along four transects at the cardinal compass points in each wetland. Transects were 25 meters long and started in shallow water, extending outward through different habitats. Habitats were categorized as wetland, mesic, or upland based on their characteristics. A 60?×?60 cm quadrat divided into 10?×?10 cm squares was used to quantify bryophyte coverage. Bryophytes were sampled at six systematically placed points on each transect.
Bryophyte Identification and Analysis: Bryophyte samples were collected, dried, and identified in the lab. Sporophytes were noted and tabulated.
Bryophyte coverage was calculated as the number of squares occupied by bryophytes in each quadrat, and species richness was calculated as the number of species encountered in each quadrat. Coverage and richness were averaged by transect and marsh and compared among wetland age categories and habitats.
Additional Sampling: After systematic collections, additional sampling was conducted to collect species bearing sporophytes and to capture species that may have been missed in systematic samples along transects.
Soil and Water Chemistry: Soil samples were taken from each location for analysis of various parameters including nitrate nitrogen, phosphorus, potassium, pH, soluble salts, and organic matter. Water pH and phosphate levels were measured at each marsh.
Biomass Measurement: Bryophytes were collected for biomass measurement at a subset of wetlands using similar transect methods. Bryophyte tissues were separated from other materials, dried, and weighed.","ANCOVA - bryophyte usage across different categories of marshes ","Vegetation","",NA,1,1,1,1,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
"A220","467","Gaffney et al., 2019","Ecohydrological change following rewetting of a deep-drained northern raised bog","Ecohydrology","2019","09-Feb-24","KG","Y","","Canada","Quebec","The Grande plée Bleue bog ","Reference, Restored","bog","freshwater","Multiple","agriculture and forestry practies, urbanization and peat extraction","2010-2011","installing damns for rewetting, tree harvesting - birch removal (invasive species) ","0-7 years","Comparison, a recently restored (rewetting) site vs. a reference site. Location and Description: The GPB bog is a large raised bog in eastern Canada, covering 1,500 hectares. Threats and Restoration: The bog faced threats to its ecological integrity, primarily due to an old ditch dating back to before 1960. To address this issue, hydrological and ecological restoration efforts were initiated, including the installation of dams along the ditch and tree harvesting to monitor the influence of trees on the water table. Monitoring Activities: A comprehensive monitoring program was implemented from 2010 to 2017 to assess the effects of rewetting on the bog's hydrology, water chemistry, and vegetation. Monitoring included measurements of water table levels, pore-water chemistry analysis, and vegetation surveys.
Hydrological Monitoring: Water table levels were monitored before and after rewetting activities to assess their impact. Different transects were established at varying distances from the ditch edge to capture changes in water table dynamics.
Chemical Analysis: Pore-water chemistry was analyzed to evaluate changes in nutrient concentrations and other chemical parameters in response to rewetting.
Vegetation Surveys: Vegetation monitoring involved assessing the cover of different plant species and functional groups at various distances from the ditch edge. This allowed for the evaluation of vegetation response to rewetting over time.","","Abiotic","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,"",1,NA,NA,NA,NA,"1",""
"A220","467","Gaffney et al., 2019","Ecohydrological change following rewetting of a deep-drained northern raised bog","Ecohydrology","2019","09-Feb-24","KG","Y","","Canada","Quebec","The Grande plée Bleue bog ","Reference, Restored","bog","freshwater","Multiple","agriculture and forestry practies, urbanization and peat extraction","2010-2011","installing damns for rewetting, tree harvesting - birch removal (invasive species) ","0-7 years","Comparison, a recently restored (rewetting) site vs. a reference site. Location and Description: The GPB bog is a large raised bog in eastern Canada, covering 1,500 hectares. Threats and Restoration: The bog faced threats to its ecological integrity, primarily due to an old ditch dating back to before 1960. To address this issue, hydrological and ecological restoration efforts were initiated, including the installation of dams along the ditch and tree harvesting to monitor the influence of trees on the water table. Monitoring Activities: A comprehensive monitoring program was implemented from 2010 to 2017 to assess the effects of rewetting on the bog's hydrology, water chemistry, and vegetation. Monitoring included measurements of water table levels, pore-water chemistry analysis, and vegetation surveys.
Hydrological Monitoring: Water table levels were monitored before and after rewetting activities to assess their impact. Different transects were established at varying distances from the ditch edge to capture changes in water table dynamics.
Chemical Analysis: Pore-water chemistry was analyzed to evaluate changes in nutrient concentrations and other chemical parameters in response to rewetting.
Vegetation Surveys: Vegetation monitoring involved assessing the cover of different plant species and functional groups at various distances from the ditch edge. This allowed for the evaluation of vegetation response to rewetting over time.","","Vegetation","",NA,NA,1,1,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",""
